Code Mnémonique,Structures
DG,DIRECTION GENERALE
ASL,Direction Affaires Sociales
GPS,Direction Gestion du Patrimoine Siege
REP,Direction Relations Publiques
CRA,DIRECTION CORPORATE AFFAIRS
IAP,lnstitut Algerien du Petrole
SMA,SONATRACH Management Academy
DCL,DIRECTION DEVELOPPEMENT DU CONTENU LOCAL
TRF,DIRECTION TRANSFORMATION SH2030
ADR,DIRECTION AUDIT ET RISQUES
CMN,DIRECTION COMMUNICATION
SIE,SERVICE SURETE INTERNE D'ETABLISSEMENT
E&P,Activite Exploration-Production
TRC,Activite Transport par Canalisations
LQS,Activite Liquefaction et Separation
RPC,Activite Raffinage et Petrochimie
COM,Activite Commercialisation
SPE,"Direction Corporate Strategie, Planification et Economie"
FIN,Direction Corporate Finances
BOM,Direction Corporate Business Development et Marketing
RHU,Direction Corporate Ressources Humaines
P&L,Direction Centrale Procurement & Logistique
REN,Direction Centrale Ressources Nouvelles
EPM,Direction Centrale Engineering & Project Management
JUR,Direction Centrale Juridique
OSI,Direction Centrale Digitalisation et Système d'lnformation
HSE,"Direction Centrale Sante, Securite et Environnement"
R&D,Direction Centrale Recherche et Developpement